snum,roi,isSideLeft,roiNum
58,ctx-lh-superiorfrontal_8,1,1044
59,ctx-lh-superiorfrontal_9,1,1045
60,ctx-lh-superiorfrontal_10,1,1046
61,ctx-lh-superiorfrontal_11,1,1047
62,ctx-lh-superiorfrontal_12,1,1048
63,ctx-lh-superiorfrontal_13,1,1049
64,ctx-lh-superiorfrontal_14,1,1050
65,ctx-lh-superiorfrontal_15,1,1051
66,ctx-lh-superiorfrontal_16,1,1052
67,ctx-lh-superiorfrontal_17,1,1053
68,ctx-lh-caudalmiddlefrontal_1,1,1054
69,ctx-lh-caudalmiddlefrontal_2,1,1055
70,ctx-lh-caudalmiddlefrontal_3,1,1056
71,ctx-lh-caudalmiddlefrontal_4,1,1057
72,ctx-lh-caudalmiddlefrontal_5,1,1058
73,ctx-lh-precentral_1,1,1059
74,ctx-lh-precentral_2,1,1060
75,ctx-lh-precentral_3,1,1061
76,ctx-lh-precentral_4,1,1062
77,ctx-lh-precentral_5,1,1063
78,ctx-lh-precentral_6,1,1064
79,ctx-lh-precentral_7,1,1065
80,ctx-lh-precentral_8,1,1066
81,ctx-lh-precentral_9,1,1067
82,ctx-lh-precentral_10,1,1068
83,ctx-lh-precentral_11,1,1069
84,ctx-lh-precentral_12,1,1070
85,ctx-lh-precentral_13,1,1071
86,ctx-lh-precentral_14,1,1072
87,ctx-lh-precentral_15,1,1073
88,ctx-lh-precentral_16,1,1074
89,ctx-lh-paracentral_1,1,1075
90,ctx-lh-paracentral_2,1,1076
91,ctx-lh-paracentral_3,1,1077
92,ctx-lh-paracentral_4,1,1078
93,ctx-lh-paracentral_5,1,1079
94,ctx-lh-paracentral_6,1,1080
95,ctx-lh-rostralanteriorcingulate_1,1,1081
96,ctx-lh-rostralanteriorcingulate_2,1,1082
97,ctx-lh-caudalanteriorcingulate_1,1,1083
98,ctx-lh-caudalanteriorcingulate_2,1,1084
99,ctx-lh-caudalanteriorcingulate_3,1,1085
100,ctx-lh-posteriorcingulate_1,1,1086
101,ctx-lh-posteriorcingulate_2,1,1087
102,ctx-lh-posteriorcingulate_3,1,1088
103,ctx-lh-posteriorcingulate_4,1,1089
104,ctx-lh-isthmuscingulate_1,1,1090
105,ctx-lh-isthmuscingulate_2,1,1091
106,ctx-lh-postcentral_1,1,1092
107,ctx-lh-postcentral_2,1,1093
108,ctx-lh-postcentral_3,1,1094
109,ctx-lh-postcentral_4,1,1095
110,ctx-lh-postcentral_5,1,1096
111,ctx-lh-postcentral_6,1,1097
112,ctx-lh-postcentral_7,1,1098
113,ctx-lh-postcentral_8,1,1099
114,ctx-lh-postcentral_9,1,1100
115,ctx-lh-postcentral_10,1,1101
116,ctx-lh-postcentral_11,1,1102
117,ctx-lh-postcentral_12,1,1103
118,ctx-lh-supramarginal_1,1,1104
119,ctx-lh-supramarginal_2,1,1105
120,ctx-lh-supramarginal_3,1,1106
121,ctx-lh-supramarginal_4,1,1107
122,ctx-lh-supramarginal_5,1,1108
123,ctx-lh-supramarginal_6,1,1109
124,ctx-lh-supramarginal_7,1,1110
125,ctx-lh-supramarginal_8,1,1111
126,ctx-lh-supramarginal_9,1,1112
127,ctx-lh-superiorparietal_1,1,1113
128,ctx-lh-superiorparietal_2,1,1114
129,ctx-lh-superiorparietal_3,1,1115
130,ctx-lh-superiorparietal_4,1,1116
131,ctx-lh-superiorparietal_5,1,1117
132,ctx-lh-superiorparietal_6,1,1118
133,ctx-lh-superiorparietal_7,1,1119
134,ctx-lh-superiorparietal_8,1,1120
135,ctx-lh-superiorparietal_9,1,1121
136,ctx-lh-superiorparietal_10,1,1122
137,ctx-lh-superiorparietal_11,1,1123
138,ctx-lh-superiorparietal_12,1,1124
139,ctx-lh-superiorparietal_13,1,1125
140,ctx-lh-inferiorparietal_1,1,1126
141,ctx-lh-inferiorparietal_2,1,1127
142,ctx-lh-inferiorparietal_3,1,1128
143,ctx-lh-inferiorparietal_4,1,1129
144,ctx-lh-inferiorparietal_5,1,1130
145,ctx-lh-inferiorparietal_6,1,1131
146,ctx-lh-inferiorparietal_7,1,1132
147,ctx-lh-inferiorparietal_8,1,1133
148,ctx-lh-inferiorparietal_9,1,1134
149,ctx-lh-inferiorparietal_10,1,1135
150,ctx-lh-inferiorparietal_11,1,1136
151,ctx-lh-inferiorparietal_12,1,1137
152,ctx-lh-precuneus_1,1,1138
153,ctx-lh-precuneus_2,1,1139
154,ctx-lh-precuneus_3,1,1140
